BIT_ID,Name,Country 1,Country 2,Type,Date of signature,Date of entry in force,Date of termination,Date of publication,Origin language,Code 1,Code 2,Doc Reference,Health measures shall not be considered discriminatory,Non-discriminatory health measures are not indriect expropriation or breaches of FET,Market access subject to domestic laws,Health conditions not performance requirement,General Exceptions,Health-sector reservations,Right to regulate investment to achieve health objectives,BIT objectives to be achieved without relaxing health measures,Enforcement via state-state,Recognition of health as a purpose for lawful expropriation,Definition of environmental and labour laws to include health,Parties can challenge tribunal appointed health experts,Compensation for public health loss,Investor expectations / Investors to observe the laws on health,Cooperation and investment in public health,Preserving right to adopt and enforce health measures,"Clarifications of definitions, relevant to public health",Prevent erosion of existing levels of health protection,Leveraging investment policy for public health,Health-related responsibilities of investors,Coordination across the policy sectors of health and investment,More than 1 policy function,Right to regulate (defensive),Health/ investment interface (neutral),Advancing a public health agenda (offensive),treaty_article_text,treaty_article_sentence,Class,Output,Year
190,Botswana - Ghana BIT (2003),Botswana ,Ghana ,BIT,17/7/2007,,,,en,BWA,GHA,T2007-23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"1.  The provisions of this Agreement relative to the grant of treatment not less favourable than that accorded to the nationals or companies of either Contracting Party or any third State shall not be construed so as to oblige one Contracting Party to extend to the nationals or companies of the other, the benefit of any treatment, preference or privilege resulting from:(a)  any existing or future customs union, common market, free trade area, or regional economic organization or measures leading to the formation of a customs union or free trade area of which either Contracting Party is or may become a member; or(b)  any international agreement or arrangement relating wholly or mainly to taxation or any domestic legislation relating wholly or mainly to taxation; or2.  Each Contracting Party may, in accordance with its laws and regulations, grant incentives, treatment, preferences or privileges through special policies or measures to its nationals only for the purpose of promoting small and medium sized enterprises and infant industries, persons or areas in its territory subject to the condition that these shall not significantly affect the investments and activities of the investors of the other Contracting Party.3.  The provisions of this Agreement shall not in any way limit the right of either Contracting Party to make laws and apply prohibitions or restrictions of any kind or take any other action which is directed to the protection of its essential security interests, or to the protection of public health or the protection of the environment generally.","  the provisions of this agreement shall not in any way limit the right of either contracting party to make laws and apply prohibitions or restrictions of any kind or take any other action which is directed to the protection of its essential security interests, or to the protection of public health or the protection of the environment generally",0,defensive,2007
191,Iceland - India BIT (2007),Iceland ,India ,BIT,29/6/2007,16/12/2009,,,en,IND,ISL,T2007-63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"1. A measure of expropriation includes, apart from direct expropriation or nationalization through formal transfer of title or outright seizure, a measure or series of measures taken intentionally by a Contracting Party to create a situation whereby the investment of an investor may be rendered substantially unproductive and incapable of yielding a return without a formal transfer of title or outright seizure.2. The determination of whether a measure or a series of measures of a Contracting Party in a specific situation, constitute measures as outlined in paragraph 1 above requires a case by case, fact based inquiry that considers, among other factors:i. The economic impact of the measure or a series of measures, although the fact that a measure or series of measures by a Contracting Party has an adverse effect on the economic value of an investment, standing alone, does not establish that expropriation or nationalization, has occurred;ii. The extent to which the measures are discriminatory either in scope or in application with respect to a Contracting Party or an investor or an enterprise;iii. The extent to which the measures or series of measures interfere with distinct, reasonable, investment-backed expectations;iv. The character and intent of the measures or series of measures, whether they are for bona fide public interest purposes or not and whether there is a reasonable nexus between them and the intention to expropriate.3. Except in rare circumstances, non-discriminatory regulatory actions by a Contracting Party that are designed and applied to protect legitimate public welfare objectives including health, safety and the environmental concerns do not constitute indirect expropriation or nationalization.4. Actions and awards by judicial bodies of a Contracting Party that are designed, applied or issued in public interest including those designed to address health, safety and the environmental concerns do not constitute indirect expropriation or nationalization.*   For greater certainty, the Article on Expropriation shall be interpreted in accordance with the side letter annexed to this Agreement."," except in rare circumstances, non-discriminatory regulatory actions by a contracting party that are designed and applied to protect legitimate public welfare objectives including health, safety and the environmental concerns do not constitute indirect expropriation or nationalization",0,defensive,2007
192,Germany - Oman BIT (2007),Germany ,Oman ,BIT,30/5/2007,4/4/2010,,,en,DEU,OMN,T2007-39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"(1) Neither Contracting State shall subject investments in its territory owned or controlled by investors of the other Contracting State to treatment less favourable than it accords to investments of its own investors or to investments of investors of any third State.(2) Neither Contracting State shall subject investors of the other Contracting State, as regards their activity, in particular, though not exclusively, concerning management, maintenance, operation, enjoyment or disposal of their investments, to treatment less favourable than it accords to its own investors or to investors of any third State, whichever is more favourable to the investors.(3) The following shall, in particular, be deemed ""treatment less favourable"" within the meaning of this Article: unequal treatment in the case of restrictions on the purchase of raw or auxiliary materials, of energy or fuel or of means of production or operation of any kind, unequal treatment in the case of impeding the marketing of products inside or outside the country. Measures that have to be taken for reasons of public security and order, public health or morality shall not be deemed ""treatment less favourable"" within the meaning of this Article.(4) Such treatment shall not relate to privileges which either Contracting State accords to investors of third States on account of its membership of, or association with, a customs or economic union, a common market, a free trade area as well as any other form of regional economic integration or by virtue of any agreements on avoidance of double taxation or other agreements regarding matters of taxation.(5) Issues of taxation on income and on capital shall be dealt with in accordance with the Agreement for Avoidance of Double Taxation with Respect to Taxes on Income and Capital between the Contracting States. In case there is no such agreement between the Contracting States, the respective national tax law shall be applicable.(6) The provisions of paragraphs (1) and (2) of this Article shall not oblige the Sultanate of Oman to accord investors of the other Contracting State the same treatment that it accords to its own investors with regard to ownership of lands and real estate. The same applies to grants and soft loans in connection with specific development and social programs.(7) The investors of either Contracting State are free to choose authorized international means of transport for the transport of persons or capital-goods directly connected with an investment within the meaning of this Treaty without prejudice to relevant bilateral or multilateral agreements binding on either Contracting State."," measures that have to be taken for reasons of public security and order, public health or morality shall not be deemed ""treatment less favourable"" within the meaning of this article",0,defensive,2007
193,Bahrain - Germany BIT (2007),Bahrain ,Germany ,BIT,5/2/2007,27/5/2010,,,en,BHR,DEU,T2007-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Protocol to the Treaty between the Federal Republic of Germany and the Kingdom of Bahrain concerning the Encouragement and Reciprocal Protection of InvestmentsThe Federal Republic of Germany and the Kingdom of Bahrain have agreed on the following provisions to the Treaty of 5th February 2007 concerning the Encouragement and Reciprocal Protection of Investments:(1) Ad Article 1 (a) Returns from the investment and, in the event of their reinvestment, the returns therefrom shall enjoy the same protection as the investment.(b) Without prejudice to any other method of determining nationality, in particular any person in possession of a national passport issued by the competent authorities of the Contracting State concerned shall be deemed to be a national of that State.(2) Ad Article 2 (a) Investments made, in accordance with the legislation of either Contracting State, within the territory of that Contracting State by nationals or companies of the other Contracting State shall enjoy the full protection of the Treaty.(b) The Treaty shall also apply to the areas of the exclusive economic zone and the continental shelf insofar as international law permits the Contracting State concerned to exercise sovereign rights or jurisdiction in these areas.(3) Ad Article 3 .(a) The following shall more particularly, though not exclusively, be deemed ""activity"" within the meaning of Article 3 (2): the management, maintenance, use and enjoyment of an investment. The following shall, in particular, be deemed ""treatment less favourable"" within the meaning of Article 3: unequal treatment in the case of restrictions on the purchase of raw or auxiliary materials, of energy or fuel or of means of production or operation of any kind, unequal treatment in the case of impeding the marketing of products inside or outside the country, as well as any other measures having similar effects. Measures that have to be taken for reasons of public security and order, public health or morality shall not be deemed ""treatment less favourable"" within the meaning of Article 3.(b) The provisions of Article 3 do not oblige a Contracting State to extend to natural persons or companies resident in the territory of the other Contracting State tax privileges, tax exemptions and tax reductions which according to its tax laws are granted only to natural persons and companies resident in its territory.(c) The Contracting States shall within the framework of their national legislation give sympathetic consideration to applications for the entry and sojourn of persons of either Contracting State who wish to enter the territory of the other Contracting State in connection with an investment; the same shall apply to employed persons of either Contracting State who in connection with an investment wish to enter the territory of the other Contracting State and sojourn there to take up employment. Applications for work permits to engage key personnel shall also be given sympathetic consideration.(4) Ad Article 4A claim to compensation shall also exist when, as a result of State intervention in the enterprise in which the investment is made, its economic substance is severely impaired.(5) Ad Article 7A transfer shall be deemed to have been made ""without delay"" within the meaning of Article 7 (1) if effected within such period as is normally required for the completion of transfer formalities. The said period shall commence on the day on which the relevant request has been submitted and may on no account exceed two months.(6) Whenever goods or persons connected with an investment are to be transported, each Contracting State shall neither exclude nor hinder transport enterprises of the other Contracting State and shall issue permits as required to carry out such transport. This shall include the transport of (a) Goods directly intended for an investment within the meaning of the Treaty or acquired in the territory of either Contracting State or of any third State by or on behalf of an enterprise in which assets within the meaning of the Treaty are invested;(b) Persons travelling in connection with an investment."," measures that have to be taken for reasons of public security and order, public health or morality shall not be deemed ""treatment less favourable"" within the meaning of article 3",0,defensive,2007
194,Madagascar - South Africa BIT (2006),Madagascar ,South Africa ,BIT,13/12/2006,,,,fr,MDG,ZAF,T2006-80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Notwithstanding the provisions of this Agreement, the contracting parties reserves the right to adopt measures necessary for the benefit of the environment, public health and the prevention of diseases affecting animals or plants, in a non-discriminatory and non-arbitrary manner, in accordance with the laws and regulations of the Contracting Parties.","notwithstanding the provisions of this agreement, the contracting parties reserves the right to adopt measures necessary for the benefit of the environment, public health and the prevention of diseases affecting animals or plants, in a non-discriminatory and non-arbitrary manner, in accordance with the laws and regulations of the contracting parties",0,defensive,2006
195,Germany - Guinea BIT (2006),Germany ,Guinea ,BIT,8/11/2006,14/8/2014,,,"de,fr",DEU,GIN,T2006-43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"(1) No Contracting State shall subject investments in its territory owned or influenced by investors of the other contracting State to treatment less favorable than that accorded to investments of its own investors or of investors of third States.(2) Neither Contracting State shall, in its territory, subject investors of the other Contracting State to treatment less favorable than that accorded to its own investors or to investors of third States in respect of any activity carried on by them in connection with investments. Measures taken for reasons of public safety, order, health or morality shall not be considered ""less favorable treatment"" within the meaning of this Article.(3) Such treatment does not extend to privileges granted by a Contracting State to investors of third States by reason of its membership in or association with a customs or economic union, a common market or a free trade area.(4) The treatment accorded by this Article shall not extend to advantages granted by a Contracting State to investors from third States under a double taxation agreement or any other arrangement in the field of taxation.(5) The provisions of this Article shall not require a Contracting State to extend to investors resident in the territory of the other Contracting State the benefits of tax advantages, exemptions and reductions which, under its tax laws, are accorded only to investors resident in its own territory.(6) The Contracting States shall, within the framework of their domestic legislation, give sympathetic consideration to applications for entry and residence permits submitted by nationals of one of the Contracting States who wish to enter the territory of the other Contracting State in connection with an investment. The same applies to employees of one of the contracting States who wish to enter the territory of the other contracting State in connection with an investment and reside there in order to carry out a paid activity. Applications for work permits shall also be given sympathetic consideration.(7) In the case of transportation of goods or persons in connection with an investment, a Contracting State shall not exclude or hinder transportation enterprises of the other Contracting State and, where necessary, shall grant the necessary permits for such transportation."," measures taken for reasons of public safety, order, health or morality shall not be considered ""less favorable treatment"" within the meaning of this article",0,defensive,2006
196,Bahrain - Italy BIT (2006),Bahrain ,Italy ,BIT,29/10/2006,28/6/2009,,,en,BHR,ITA,T2006-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"On signing the Agreement between the Government of the Italian Republic and the Government or the Kingdom of Bahrain conceming the Encouragement and Reciprocal Protection of Investments, the undersigned Plenipotentiaries have in addition agreed on the following provisions, which shan be regarded as an integral part of the said Agreement.I. Ad Article I(a) Returns from the investment and, in the event of their reinvestment, the returns therefrom shall enjoy the same protection as the investment.(b) Without prejudice to any other method of determining nationality, in particular any person in possession of a national passpon issued by the competent authorities of the Contracting Party concerned shall he deemed to be a national of that party.(c) Each Contracting Party Of its designated Agency may stipulale with an invitation of the other Contracting Party, an investment agreement which will govern the specic legal relationship related to the investment of the investor concerned.2. Ad Article 2(a) Neither of the Contracting Parties without prejudice of their respt!ctive laws and regulations, will set any conditions for the creation, the expansion or the continuation of investments, which may imply the taking over or the imposing of any limitation to the sale of the production on domestic and intemalional markets, or which specifies that goods must be procured locally or similar conditions.(b) Each Contracting Party shall, in accordance with its legislation, permit investors of the other Conlractmg Party who have made investment in its territory to employ managerial personnel regardless of their nationality.3. Ad Arlicle 3(a) The term ""activities connected with an investment"" shall include inter alia the organisation. control operation, maintenance and disposal of companies: branches, agencies, offices or other organisations for the conduct of business; the receipt of registrations, licenses. permits and other approvals necessary tor the condud of commercial activity; the acquisition, use and disposal of property of all kinds, including intellectual property, as well as the protection there of, the access to the financial market. in particular the borrowing of funds, the purchase, sale and issue of shares and other securities and the pure hast! of foreign exchange for imports necessary for the conduct of business affairs; the marketing of goods; and services; the procurement. sale and transport of raw and processed materials, energy. fllds and production means: the dissemination of commercial information.(b) The following shall more particularly, though not exclusively, be deemed ""activity"" within the meaning or Article 3 (2): the management, maintenance, use and enjoyment of an invcestment. TIle following shall in particular be deemed ""treatmenl less favourable"" within the meaning of Article 3 restricting the purchase of raw or auxiliary material, of energy or fuel or of means of production or operation of any kind, impeding the marketing of products inside or outside the country, as well as any other measures having similar effects.Measures that have to be taken for reasons of public security and order, public health or momlilY shall not be deemc:d "" treatment less favourable"" within the meaning of Article 3.(c) Each Contracting Party shall in accordance with its legislation and its international obligations relating to the entry and stay of foreigners, permit working in connection with an investment under this Agreement, as well as members of their families, to enter into, remain and leave its territory.4. Ad Article 5Any measure undertaken towards an investment effected by an investor of one of the Contracting Parties, which subtracts financial resources or other assets from the investment or creates obstacles to the activities, or substantial prejudice to the value of the same investment, as well as any other measure having equivalent effect, will be considered as one of the measure referred to in paragraph 2 of Article 5.5. Ad Article 8.A transfer shall be deemed to have been made ""without delay"" within the meaning of Article 8 if effected within such period as is normally requjred for the completion of trauster formalities.Done at Manama on 29 October 2006 in two originals, in the Arabic, Italian and English languages, all texts being equally authentic. In case of any divergence, the English text shall prevail.For the Government of the Italian RepublicHon. Emma BoninoMinister of International Trade and European AffairsFor the Government of the Kingdom of BahrainAhmed Bin Mohamed Al KhalifaMinister of Finance","measures that have to be taken for reasons of public security and order, public health or momlily shall not be deemc:d "" treatment less favourable"" within the meaning of article 3",0,defensive,2006
197,Germany - Trinidad and Tobago BIT (2006),Germany ,Trinidad and Tobago ,BIT,8/9/2006,17/4/2010,,,en,DEU,TTO,T2006-45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"(1) Neither Contracting Party shall subject investments in its territory owned or controlled by nationals or companies of the other Contracting Party to treatment less favourable than it accords to investments of its own nationals or companies or to investments of nationals or companies of any third State.(2) Neither Contracting Party shall subject nationals or companies of the other Contracting Party as regards their activity in connection with investments such as management, maintenance, use, enjoyment or disposal of their investments in its territory to treatment less favourable than it accords to its own nationals or companies or to nationals or companies of any third State.(3) Such treatment shall not relate to privileges which either Contracting Party accords to nationals or companies of third States on account of its membership of, or association with, a customs or economic union, a common market or a free trade area.(4) The following shall, in particular, be deemed ""treatment less favourable"" within the meaning of this Article: unequal treatment in the case of restrictions on the purchase of raw or auxiliary materials, of energy or fuel or of means of production or operations of any kind; unequal treatment in the case of impeding the marketing of products inside or outside the country as well as any other measures having similar effects. Measures that have to be taken for reasons of public security and order, public health or morality shall not be deemed ""treatment less favourable"" within the meaning of this Article.(5) The treatment granted under this Article shall not relate to advantages which either Contracting Party accords to nationals or companies of third States by virtue of a double taxation agreement or other agreements regarding matters of taxation.(6) Issues of taxation on income and on capital shall be dealt with in accordance with the agreement for the avoidance of double taxation between the Contracting Parties and in accordance with the respective national tax law. The provisions of this Article do not oblige a Contracting Party to extend to nationals or companies resident in the territory of the other Contracting Party tax privileges, tax exemptions and tax reductions which according to its tax laws are granted only to nationals or companies resident in its territory.(7) The Contracting Parties shall within the framework of their national legislation give sympathetic consideration to applications for the entry and sojourn of persons of either Contracting Party who wish to enter the territory of the other Contracting Party in connection with an investment; the same shall apply to employed persons of either Contracting Party who in connection with an investment wish to enter the territory of the other Contracting Party and sojourn there to take up employment. Applications for work permits shall also be given sympathetic consideration.(8) Nationals or companies of either Contracting Party are free to choose international means of transportation for the transport of persons as well as capital goods directly connected with an investment within the meaning of this Treaty, notwithstanding bilateral or multilateral agreements which are binding for both Contracting Parties."," measures that have to be taken for reasons of public security and order, public health or morality shall not be deemed ""treatment less favourable"" within the meaning of this article",0,defensive,2006
198,"Moldova, Republic of - Spain BIT (2006)","Moldova, Republic of ",Spain ,BIT,11/5/2006,17/1/2007,,,es,ESP,MDA,T2006-54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"1 Each Contracting Party shall accord to investments made in its territory by investors of the other Contracting Party A treatment no less favourable than that accorded to investments made by its own investors to investors or of any third State, whichever is more favourable to the investor concerned.2 Each Contracting Party shall accord to investors in its territory of the other contracting party, as regards the management, maintenance, use, enjoyment or disposal of their investments, treatment no less favourable than that accorded to its own investors to investors or of any third State, which is more favourable to the investor concerned.3 The treatment granted under paragraphs 1 and 2 of this article shall not be construed as to oblige one contracting party to extend to the investors of the other contracting party and their investments the benefit of any treatment, preference or privilege resulting from its membership or association with a free trade area, customs union, economic or monetary union union or any other regional economic integration organization, or future already existente.apartados 1 and 2 of this article shall not be construed as to oblige one contracting party to extend to the investors of the other contracting party and their investments the benefit of any treatment, preference or privilege resulting from its membership or association with a free trade area, customs union, economic or monetary union union or any other regional economic integration organization, existing or future.4 The measures to be taken for reasons of public security and public order or public health shall not be considered to be less favourable treatment ""For the purposes of this article.","4 the measures to be taken for reasons of public security and public order or public health shall not be considered to be less favourable treatment ""for the purposes of this article",0,defensive,2006
199,India - Saudi Arabia BIT (2006),India ,Saudi Arabia ,BIT,25/1/2006,20/5/2008,,,en,IND,SAU,T2006-69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"1. Investments by investors of either Contracting Party shall not be expropriated, nationalized, or subjected to any other measures, the effects of which would be tantamount to expropriation or nationalization by the other Contracting Party except for the public benefit of the Contracting Party and against speedy, fair and equitable compensation, provided that these measures are not discriminatory and in accordance with domestic laws of general application. Such compensation shall be equivalent to the market value of the expropriated investment immediately before the date on which the actual or impending expropriation, nationalization or comparable measure has become publicly known, whichever is earlier. The compensation shall be paid without undue delay and shall carry a rate of return determined on the basis of the market prevailing rate of return until the time of payment; it shall be effectively realizable and freely transferable. Provision shall be made in an appropriate manner at or prior to the time of expropriation, nationalization or comparable measure for the determination and payment of such compensation. The legality of any such expropriation, nationalization or comparable measure and the amount of compensation shall be subject to review by due process of law.2. To determine whether an action or series of actions is tantamount to expropriation (indirect expropriation), a case-by-case fact based inquiry shall be made in accordance with the provisions of this agreement and the principles of customary international law, and shall consider, inter alia, the economic impact, the purpose and context of such action and the extent to which it interferes with distinct, reasonable investment backed expectations. The mere fact that an action or series of actions by a Contracting Party has an adverse effect on the economic value of an investment, standing alone, would not establish that an indirect expropriation has occurred. Also any action of a Contracting Party taken as a part of normal business activities would not, by itself, constitute an indirect expropriation unless the prima facie intention to create adverse impact on the economic value of the investment is apparent.3. This Article shall not be construed to prevent a Contracting Party from taking a regulatory action, for the public benefit of that Contracting Party on a non-discriminatory basis, to protect legitimate public welfare objectives, such as health, safety, and the environment."," this article shall not be construed to prevent a contracting party from taking a regulatory action, for the public benefit of that contracting party on a non-discriminatory basis, to protect legitimate public welfare objectives, such as health, safety, and the environment",0,defensive,2006
200,China - Portugal BIT (2005),China ,Portugal ,BIT,9/12/2005,26/7/2008,,,en,CHN,PRT,T2005-35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"PROTOCOL TO THE AGREEMENT BETWEEN THE PORTUGUESE REPUBLIC AND THE PEOPLE'S REPUBLIC OF CHINA ON THE ENCOURAGEMENT AND RECIPROCAL PROTECTION OF INVESTMENTSOn signing the Agreement between the Portuguese Republic and the People's Republic of China on the Encouragement and Reciprocal Protection of Investments, the plenipotentiaries, being duly authorized, have, in addition, agreed on the following provisions, which shall be regarded as an integral part of the said Agreement:Returns from the investment and from reinvestments shall enjoy the same protection as the investment.Ad Articles 2 and 3With regard to the People's Republic of China, paragraph 3 of article 2 and paragraph 2 of article 3 do not apply to:a) Any existing non-conforming measures maintained within its territory;b) The continuation of any such non-conforming measure;c) Any amendment to any such non-conforming measure to the extent that the amendment does not increase the non-conformity of these measures.The People's Republic of China will take all appropriate steps in order to progressively remove the non-conforming measures.Ad Article 31  — The following shall more particularly, though not exclusively, be deemed ""activity"" within the meaning of article 3, 2, the management, maintenance, use, enjoyment and disposal of an investment. The following shall, in particular, though not exclusively, be deemed ""treatment less favourable"" within the meaning of article 3 unequal treatment in the case of restrictions on the purchase of raw or auxiliary materials, of energy or fuel or of means of production or operation of any kind as well as any other measures having similar effects. Measures that have to be taken for reasons of public security and order, public health or morality shall not be deemed ""treatment less favourable"" within the meaning of article 3.2  — The provisions of article 3 do not oblige a Party to extend to investors resident in the territory of the other Party tax privileges, tax exemptions and tax reductions which according to its tax laws are granted only to investors resident in its territory.Ad Article 6With regard to the People's Republic of China:1 — Article 6, paragraph 1, c), will apply provided that the transfer shall comply with the relevant formalities stipulated by the present Chinese laws and regulations relating to exchange control.2 — A transfer shall be deemed to have been made ""without delay"" within the meaning of article 6, 3, if effected within such period as is normally required for the completion of transfer formalities. The said period shall commence on the day on which the relevant request has been submitted to the relevant foreign exchange administration with full and authentic documentation and information and may on no account exceed two months.3 — In this respect, the People's Republic of China shall accord to investors of the Portuguese Republic treatment not less favourable than that accorded to the investors of any third State.4 — These formalities shall not be construed as a means of avoiding the Party's commitments or obligations under this Agreement.5 — The provisions of article 6 of this Agreement shall not affect the rights and obligations with respect to exchange restrictions that either Party has or may have as a member to the International Monetary Fund.6 — Paragraph 1, d), will apply provided that a loan-agreement has been registered with the relevant foreign exchange administration authority.7 — To the extent that the formalities mentioned above are no longer required according to the relevant provisions of Chinese law, article 6 shall apply without restrictions.Ad Article 9With respect to investments in the People's Republic of China an investor of Portuguese Republic may submit a dispute for arbitration under the following conditions only:a) The investor has referred the issue to an administrative review procedure according to Chinese law;,b) The dispute still exists three months after he has brought the issue to the review procedure.For the Portuguese Republic:For the People's Republic of China:"," measures that have to be taken for reasons of public security and order, public health or morality shall not be deemed ""treatment less favourable"" within the meaning of article 3",0,defensive,2005
201,China - Madagascar BIT (2005),China ,Madagascar ,BIT,21/11/2005,1/6/2007,,,"fr,en,zh",CHN,MDG,T2005-32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"1. In accordance with principles of international law, each Contracting Party shall accord to investors of the other Contracting Party treatment with fair and equitable treatment, and the treatment shall not be impeded in laws or in fact.2. Legal or de facto obstacles to the fair and equitable treatment mainly mean, but not limited to: non-equitable treatment of all kinds of restrictions on the means of production and management, non-equitable treatment of all kinds of restrictions on sale of products at home and abroad, as well as other measures with similar effect. But measures for reasons of security, public order, health, ethical and environmental protection and other reasons , these measures shall not be regarded as obstacles.3. One Contracting Party shall conduct review as for entry, residence, working and communication application and other applications by natural persons investors of the other Contracting Party for the purpose of making investment in its territory."," but measures for reasons of security, public order, health, ethical and environmental protection and other reasons , these measures shall not be regarded as obstacles",0,defensive,2005
202,Georgia - Latvia BIT (2005),Georgia ,Latvia ,BIT,5/10/2005,5/3/2006,,,en,GEO,LVA,T2005-58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"1.  Nothing in this Agreement shall be construed as preventing a Contracting Party from taking any action necessary for the protection of its essential security interests in time of war or armed conflict, or other emergency in international relations.2.  Provided that such measures are not applied in an arbitrary or unjustifiable manner, or do not constitute a disguised restriction on international trade or investment, nothing in this Agreement shall be construed to prevent a Contracting Party from adopting or maintaining measures, including environmental measures:(a)  necessary for the maintenance of public order;(b)  necessary to protect human, animal or plant life or health.3.  The provisions of this Article shall not apply to Article 5, Article 6 or paragraph 1.(e) of Article 7 of this Agreement.","  provided that such measures are not applied in an arbitrary or unjustifiable manner, or do not constitute a disguised restriction on international trade or investment, nothing in this agreement shall be construed to prevent a contracting party from adopting or maintaining measures, including environmental measures:(a)  necessary for the maintenance of public order;(b)  necessary to protect human, animal or plant life or health.",0,defensive,2005
203,Azerbaijan - Latvia BIT (2005),Azerbaijan ,Latvia ,BIT,3/10/2005,10/5/2006,,,en,AZE,LVA,T2005-7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"1.  Nothing in this Agreement shall be construed as preventing a Contracting Party from taking any action necessary for the protection of its essential security interests in time of war or armed conflict, or other emergency in international relations.2.  Provided that such measures are not applied in an arbitrary or unjustifiable manner, or do not constitute a disguised restriction on international trade or investment, nothing in this Agreement shall be construed to prevent a Contracting Party Com adopting or maintaining measures, including environment measures;(a)  necessary for the maintenance of public order;(b)  necessary to protect human, animal or plant life or health.3.  The provisions of this Article shall not apply to Article 6, Article 7 and paragraph 1(e) of Article 8 of the Agreement.","  provided that such measures are not applied in an arbitrary or unjustifiable manner, or do not constitute a disguised restriction on international trade or investment, nothing in this agreement shall be construed to prevent a contracting party com adopting or maintaining measures, including environment measures;(a)  necessary for the maintenance of public order;(b)  necessary to protect human, animal or plant life or health.",0,defensive,2005
204,Germany - Timor - Leste BIT (2005),Germany ,Timor - Leste ,BIT,10/8/2005,,,,"en,de,fr",DEU,TLS,T2005-42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"The Federal Republic of Germany and the Democratic Republic of Timor-Leste have agreed to the following provisions of the Treaty of 10 August 2005 on the Promotion and Mutual Protection of Investments:1. Ad Article 1a) Income from the investment and, in the case of its reinvestment, its income also enjoys the same protection as the investment.b) Without prejudice to other procedures for establishing nationality, a national of a Contracting State shall be deemed to be any person who holds a national passport issued by the competent authorities of the Contracting State concerned.2. Ad Article 2The Treaty shall also apply in the areas of the exclusive economic zone and the continental shelf insofar as international law allows the Contracting State concerned to exercise sovereign rights or jurisdiction in these areas.3. Ad Article 3a) 'Acting ' within the meaning of Article 3 (2) shall include, but is not limited to, the administration, maintenance, use, exploitation and disposal of an investment. A "" less favorable "" treatment within the meaning of Article 3 means, in particular, the difference in treatment in the case of restrictions on the purchase of raw materials and supplies, energy and fuels and all types of production and operating equipment, the different treatment in the event of disability Sales of domestic and foreign products and other measures having a similar effect. Measures to be taken for reasons of public security and public order, public health or morality are not considered to be ""less favorable treatment within the meaning of Article 3.b) Article 3 requires a Contracting State not to enjoy tax advantages, exemptions and reductions which, under its tax laws, are granted only to investors resident in its territory to investors established in the territory of the other Contracting State.c) The Contracting States shall, in the framework of their national legislation, consider favorably requests for the entry and residence of persons of one Contracting State wishing to enter the territory of the other Contracting State in connection with an investment; the same applies to workers of one Contracting State who wish to enter and stay in the territory of the other Contracting State in connection with an investment in order to carry on an activity as an employed person. Applications for a work permit will also be examined favorably.4. Ad Article 7The term "" immediate "" within the meaning of Article 7 (1) shall mean a transfer made within a period normally required to complete the transfer formalities. The period begins with the submission of a request and may under no circumstances exceed two months.5. In the case of carriage of goods and persons in connection with an investment, a Contracting State shall neither exclude nor hinder the transport enterprises of the other Contracting State and, if necessary, grant authorizations to carry out the transports. This includes promotions froma) Goods which are directly intended for investment within the meaning of the Treaty, or which are acquired in the territory of a Contracting State or a third State by or on behalf of a firm in which assets are invested within the meaning of the contract;b) Persons traveling in connection with an investment."," measures to be taken for reasons of public security and public order, public health or morality are not considered to be ""less favorable treatment within the meaning of article 3",0,defensive,2005
